id,zip,name,county
1,06404,Botsford,Fairfield
2,06440,Hawleyville,Fairfield
3,06468,Monroe,Fairfield
4,06470,Newtown,Fairfield
5,06482,Sandy Hook,Fairfield
6,06484,Shelton,Fairfield
7,06491,Stevenson,Fairfield
8,06601,Bridgeport,Fairfield
9,06602,Bridgeport,Fairfield
10,06604,Bridgeport,Fairfield
11,06605,Bridgeport,Fairfield
12,06606,Bridgeport,Fairfield
13,06607,Bridgeport,Fairfield
14,06608,Bridgeport,Fairfield
15,06610,Bridgeport,Fairfield
16,06611,Trumbull,Fairfield
17,06612,Easton,Fairfield
18,06614,Stratford,Fairfield
19,06615,Stratford,Fairfield
20,06673,Bridgeport,Fairfield
21,06699,Bridgeport,Fairfield
22,06784,Sherman,Fairfield
23,06801,Bethel,Fairfield
24,06804,Brookfield,Fairfield
25,06807,Cos Cob,Fairfield
26,06810,Danbury,Fairfield
27,06811,Danbury,Fairfield
28,06812,New Fairfield,Fairfield
29,06813,Danbury,Fairfield
30,06814,Danbury,Fairfield
31,06816,Danbury,Fairfield
32,06817,Danbury,Fairfield
33,06820,Darien,Fairfield
34,06824,Fairfield,Fairfield
35,06825,Fairfield,Fairfield
36,06828,Fairfield,Fairfield
37,06829,Georgetown,Fairfield
38,06830,Greenwich,Fairfield
39,06831,Greenwich,Fairfield
40,06836,Greenwich,Fairfield
41,06838,Greens Farms,Fairfield
42,06840,New Canaan,Fairfield
43,06850,Norwalk,Fairfield
44,06851,Norwalk,Fairfield
45,06852,Norwalk,Fairfield
46,06853,Norwalk,Fairfield
47,06854,Norwalk,Fairfield
48,06855,Norwalk,Fairfield
49,06856,Norwalk,Fairfield
50,06857,Norwalk,Fairfield
51,06858,Norwalk,Fairfield
52,06860,Norwalk,Fairfield
53,06870,Old Greenwich,Fairfield
54,06875,Redding Center,Fairfield
55,06876,Redding Ridge,Fairfield
56,06877,Ridgefield,Fairfield
57,06878,Riverside,Fairfield
58,06879,Ridgefield,Fairfield
59,06880,Westport,Fairfield
60,06881,Westport,Fairfield
61,06883,Weston,Fairfield
62,06888,Westport,Fairfield
63,06889,Westport,Fairfield
64,06890,Southport,Fairfield
65,06896,Redding,Fairfield
66,06897,Wilton,Fairfield
67,06901,Stamford,Fairfield
68,06902,Stamford,Fairfield
69,06903,Stamford,Fairfield
70,06904,Stamford,Fairfield
71,06905,Stamford,Fairfield
72,06906,Stamford,Fairfield
73,06907,Stamford,Fairfield
74,06910,Stamford,Fairfield
75,06911,Stamford,Fairfield
76,06912,Stamford,Fairfield
77,06913,Stamford,Fairfield
78,06914,Stamford,Fairfield
79,06920,Stamford,Fairfield
80,06921,Stamford,Fairfield
81,06922,Stamford,Fairfield
82,06926,Stamford,Fairfield
83,06927,Stamford,Fairfield
84,06001,Avon,Hartford
85,06002,Bloomfield,Hartford
86,06006,Windsor,Hartford
87,06010,Bristol,Hartford
88,06011,Bristol,Hartford
89,06013,Burlington,Hartford
90,06016,Broad Brook,Hartford
91,06019,Canton,Hartford
92,06020,Canton Center,Hartford
93,06022,Collinsville,Hartford
94,06023,East Berlin,Hartford
95,06025,East Glastonbury,Hartford
96,06026,East Granby,Hartford
97,06027,East Hartland,Hartford
98,06028,East Windsor Hill,Hartford
99,06030,Farmington,Hartford
100,06032,Farmington,Hartford
101,06033,Glastonbury,Hartford
102,06034,Farmington,Hartford
103,06035,Granby,Hartford
104,06037,Berlin,Hartford
105,06040,Manchester,Hartford
106,06041,Manchester,Hartford
107,06042,Manchester,Hartford
108,06045,Manchester,Hartford
109,06050,New Britain,Hartford
110,06051,New Britain,Hartford
111,06052,New Britain,Hartford
112,06053,New Britain,Hartford
113,06059,North Canton,Hartford
114,06060,North Granby,Hartford
115,06062,Plainville,Hartford
116,06064,Poquonock,Hartford
117,06067,Rocky Hill,Hartford
118,06070,Simsbury,Hartford
119,06073,South Glastonbury,Hartford
120,06074,South Windsor,Hartford
121,06078,Suffield,Hartford
122,06080,Suffield,Hartford
123,06081,Tariffville,Hartford
124,06082,Enfield,Hartford
125,06083,Enfield,Hartford
126,06085,Unionville,Hartford
127,06087,Unionville,Hartford
128,06088,East Windsor,Hartford
129,06089,Weatogue,Hartford
130,06090,West Granby,Hartford
131,06091,West Hartland,Hartford
132,06092,West Simsbury,Hartford
133,06093,West Suffield,Hartford
134,06095,Windsor,Hartford
135,06096,Windsor Locks,Hartford
136,06101,Hartford,Hartford
137,06102,Hartford,Hartford
138,06103,Hartford,Hartford
139,06104,Hartford,Hartford
140,06105,Hartford,Hartford
141,06106,Hartford,Hartford
142,06107,West Hartford,Hartford
143,06108,East Hartford,Hartford
144,06109,Wethersfield,Hartford
145,06110,West Hartford,Hartford
146,06111,Newington,Hartford
147,06112,Hartford,Hartford
148,06114,Hartford,Hartford
149,06115,Hartford,Hartford
150,06117,West Hartford,Hartford
151,06118,East Hartford,Hartford
152,06119,West Hartford,Hartford
153,06120,Hartford,Hartford
154,06123,Hartford,Hartford
155,06126,Hartford,Hartford
156,06127,West Hartford,Hartford
157,06128,East Hartford,Hartford
158,06129,Wethersfield,Hartford
159,06131,Newington,Hartford
160,06132,Hartford,Hartford
161,06133,West Hartford,Hartford
162,06134,Hartford,Hartford
163,06137,West Hartford,Hartford
164,06138,East Hartford,Hartford
165,06140,Hartford,Hartford
166,06141,Hartford,Hartford
167,06142,Hartford,Hartford
168,06143,Hartford,Hartford
169,06144,Hartford,Hartford
170,06145,Hartford,Hartford
171,06146,Hartford,Hartford
172,06147,Hartford,Hartford
173,06150,Hartford,Hartford
174,06151,Hartford,Hartford
175,06152,Hartford,Hartford
176,06153,Hartford,Hartford
177,06154,Hartford,Hartford
178,06155,Hartford,Hartford
179,06156,Hartford,Hartford
180,06160,Hartford,Hartford
181,06161,Hartford,Hartford
182,06167,Hartford,Hartford
183,06176,Hartford,Hartford
184,06180,Hartford,Hartford
185,06183,Hartford,Hartford
186,06199,Hartford,Hartford
187,06444,Marion,Hartford
188,06447,Marlborough,Hartford
